text1,text2,label,similarity_score,clean_text1,clean_text2
The quick brown fox jumps over the lazy dog,A fast brown fox leaps over the idle dog,1,0.85,quick brown fox jumps lazy dog,fast brown fox leaps idle dog
Machine learning is a subset of artificial intelligence,Deep learning is a branch of machine learning and AI,1,0.72,machine learning subset artificial intelligence,deep learning branch machine learning ai
Climate change is causing global temperatures to rise significantly,Global warming due to climate change is increasing temperatures worldwide,1,0.88,climate change causing global temperatures rise significantly,global warming due climate change increasing temperatures worldwide
The mitochondria is the powerhouse of the cell,Mitochondria serve as the energy-producing organelles in cells,1,0.8,mitochondria powerhouse cell,mitochondria serve energyproducing organelles cells
Water boils at 100 degrees Celsius at sea level,"At standard atmospheric pressure, water reaches its boiling point at 100°C",1,0.82,water boils 100 degrees celsius sea level,standard atmospheric pressure water reaches boiling point 100°c
Shakespeare wrote Romeo and Juliet in the late 16th century,Romeo and Juliet was authored by William Shakespeare around 1594-1596,1,0.78,shakespeare wrote romeo juliet late 16th century,romeo juliet authored william shakespeare around 15941596
Neural networks are inspired by the structure of the human brain,Artificial neural networks mimic the biological neural structure of human brains,1,0.85,neural networks inspired structure human brain,artificial neural networks mimic biological neural structure human brains
The economy grew by 3.5 percent last quarter,Economic growth reached 3.5% in the previous quarter,1,0.9,economy grew 35 percent last quarter,economic growth reached 35 previous quarter
Photosynthesis converts sunlight into chemical energy in plants,Plants use photosynthesis to transform solar energy into chemical compounds,1,0.83,photosynthesis converts sunlight chemical energy plants,plants use photosynthesis transform solar energy chemical compounds
The Eiffel Tower is located in Paris France,Paris France is home to the famous Eiffel Tower landmark,1,0.87,eiffel tower located paris france,paris france home famous eiffel tower landmark
Albert Einstein developed the theory of relativity,The theory of relativity was formulated by Albert Einstein,1,0.92,albert einstein developed theory relativity,theory relativity formulated albert einstein
Python is a high-level programming language known for its simplicity,Python programming language is valued for its readable and simple syntax,1,0.8,python highlevel programming language known simplicity,python programming language valued readable simple syntax
The human genome contains approximately 3 billion base pairs,About 3 billion base pairs make up the complete human genome,1,0.88,human genome contains approximately billion base pairs,billion base pairs make complete human genome
Gravity pulls objects toward the center of the Earth,Objects are attracted toward Earth's center due to gravitational force,1,0.82,gravity pulls objects toward center earth,objects attracted toward earths center due gravitational force
The Amazon River is the largest river by discharge volume,"By volume of water discharged, the Amazon River surpasses all other rivers",1,0.79,amazon river largest river discharge volume,volume water discharged amazon river surpasses rivers
Vaccination helps the immune system recognize and fight diseases,Vaccines train the immune system to identify and combat pathogens,1,0.81,vaccination helps immune system recognize fight diseases,vaccines train immune system identify combat pathogens
The speed of light in vacuum is approximately 300000 kilometers per second,Light travels through vacuum at nearly 300000 km per second,1,0.91,speed light vacuum approximately 300000 kilometers per second,light travels vacuum nearly 300000 km per second
DNA carries the genetic information of living organisms,The genetic code of living things is stored in DNA molecules,1,0.84,dna carries genetic information living organisms,genetic code living things stored dna molecules
Supply and demand determines the price of goods in markets,Market prices are determined by the forces of supply and demand,1,0.89,supply demand determines price goods markets,market prices determined forces supply demand
The Renaissance was a cultural movement that began in Italy,Italy was the birthplace of the Renaissance cultural and artistic movement,1,0.86,renaissance cultural movement began italy,italy birthplace renaissance cultural artistic movement
Blockchain technology provides a decentralized and secure transaction ledger,A decentralized secure ledger for transactions is the foundation of blockchain technology,1,0.83,blockchain technology provides decentralized secure transaction ledger,decentralized secure ledger transactions foundation blockchain technology
Antibiotics are used to treat bacterial infections,Bacterial infections are commonly treated with antibiotic medications,1,0.88,antibiotics used treat bacterial infections,bacterial infections commonly treated antibiotic medications
The solar system consists of the Sun and eight planets,Eight planets along with the Sun make up our solar system,1,0.9,solar system consists sun eight planets,eight planets along sun make solar system
Exercise improves cardiovascular health and mental wellbeing,Regular physical activity benefits both heart health and mental wellness,1,0.79,exercise improves cardiovascular health mental wellbeing,regular physical activity benefits heart health mental wellness
The Internet has transformed global communication and commerce,Global communication and trade have been revolutionized by the Internet,1,0.85,internet transformed global communication commerce,global communication trade revolutionized internet
Quantum computing uses quantum mechanical phenomena for computation,Computation based on quantum mechanical principles defines quantum computing,1,0.82,quantum computing uses quantum mechanical phenomena computation,computation based quantum mechanical principles defines quantum computing
The ozone layer protects Earth from harmful ultraviolet radiation,Harmful UV radiation from the sun is blocked by Earth's ozone layer,1,0.84,ozone layer protects earth harmful ultraviolet radiation,harmful uv radiation sun blocked earths ozone layer
Inflation reduces the purchasing power of money over time,"Over time, inflation erodes the buying power of currency",1,0.87,inflation reduces purchasing power money time,time inflation erodes buying power currency
Neurons communicate through electrical and chemical signals,Chemical and electrical signals are used by neurons for communication,1,0.89,neurons communicate electrical chemical signals,chemical electrical signals used neurons communication
The French Revolution began in 1789 with the storming of the Bastille,"In 1789, the storming of the Bastille marked the start of the French Revolution",1,0.91,french revolution began 1789 storming bastille,1789 storming bastille marked start french revolution
Artificial intelligence is transforming industries across the globe,Industries worldwide are being transformed by advances in artificial intelligence,1,0.86,artificial intelligence transforming industries across globe,industries worldwide transformed advances artificial intelligence
The moon orbits the Earth approximately every 27 days,Earth's moon completes one orbit roughly every 27 days,1,0.93,moon orbits earth approximately every 27 days,earths moon completes one orbit roughly every 27 days
Deforestation contributes to habitat loss and biodiversity decline,Loss of forests leads to destruction of habitats and declining biodiversity,1,0.8,deforestation contributes habitat loss biodiversity decline,loss forests leads destruction habitats declining biodiversity
The periodic table organizes elements by atomic number,Elements are arranged in the periodic table according to their atomic numbers,1,0.88,periodic table organizes elements atomic number,elements arranged periodic table according atomic numbers
Sleep is essential for cognitive function and physical recovery,Both mental performance and physical restoration depend on adequate sleep,1,0.77,sleep essential cognitive function physical recovery,mental performance physical restoration depend adequate sleep
Renewable energy sources include solar wind and hydroelectric power,Solar wind and hydroelectric energy are all forms of renewable power,1,0.85,renewable energy sources include solar wind hydroelectric power,solar wind hydroelectric energy forms renewable power
The central nervous system consists of the brain and spinal cord,The brain and spinal cord form the central nervous system of vertebrates,1,0.9,central nervous system consists brain spinal cord,brain spinal cord form central nervous system vertebrates
Plate tectonics explains the movement of Earth's continental plates,The theory of plate tectonics describes how Earth's continental plates move,1,0.88,plate tectonics explains movement earths continental plates,theory plate tectonics describes earths continental plates move
Natural language processing enables computers to understand human language,NLP allows machines to interpret and process human language effectively,1,0.81,natural language processing enables computers understand human language,nlp allows machines interpret process human language effectively
The stock market reflects investor sentiment and economic conditions,Economic conditions and investor confidence are mirrored in stock market performance,1,0.79,stock market reflects investor sentiment economic conditions,economic conditions investor confidence mirrored stock market performance
Cryptography secures digital communication through mathematical algorithms,Digital communications are secured by cryptographic mathematical techniques,1,0.82,cryptography secures digital communication mathematical algorithms,digital communications secured cryptographic mathematical techniques
The greenhouse effect causes global temperatures to increase,Rising global temperatures are a result of the greenhouse effect,1,0.87,greenhouse effect causes global temperatures increase,rising global temperatures result greenhouse effect
Democracy is a system of government where citizens elect their representatives,In a democratic system of government citizens choose their leaders through elections,1,0.84,democracy system government citizens elect representatives,democratic system government citizens choose leaders elections
Proteins are essential macromolecules that perform various cellular functions,Various cellular functions depend on proteins which are critical macromolecules,1,0.86,proteins essential macromolecules perform various cellular functions,various cellular functions depend proteins critical macromolecules
The first computer was invented in the mid-twentieth century,Mid-twentieth century saw the invention of the first modern computers,1,0.83,first computer invented midtwentieth century,midtwentieth century saw invention first modern computers
Economic inequality has been increasing in many developed countries,In developed nations growing economic inequality has become a significant issue,1,0.8,economic inequality increasing many developed countries,developed nations growing economic inequality become significant issue
Meditation reduces stress and promotes psychological wellbeing,Psychological health and stress reduction can be achieved through regular meditation,1,0.81,meditation reduces stress promotes psychological wellbeing,psychological health stress reduction achieved regular meditation
The Big Bang theory describes the origin of the universe,According to the Big Bang theory the universe originated from a singular explosive event,1,0.78,big bang theory describes origin universe,according big bang theory universe originated singular explosive event
Fossil fuels are non-renewable energy sources that cause pollution,Non-renewable fossil fuels are major contributors to environmental pollution,1,0.84,fossil fuels nonrenewable energy sources cause pollution,nonrenewable fossil fuels major contributors environmental pollution
The immune system defends the body against pathogens and disease,Pathogens and diseases are fought off by the body's immune system,1,0.89,immune system defends body against pathogens disease,pathogens diseases fought off bodys immune system
Social media has changed how people interact and share information,The way people communicate and share content has been transformed by social media,1,0.82,social media changed people interact share information,way people communicate share content transformed social media
Machine translation uses algorithms to convert text between languages,Converting text from one language to another is automated by machine translation algorithms,1,0.8,machine translation uses algorithms convert text languages,converting text one language another automated machine translation algorithms
The hippocampus plays a key role in memory formation,Memory formation in the brain is primarily associated with hippocampus activity,1,0.85,hippocampus plays key role memory formation,memory formation brain primarily associated hippocampus activity
Electric vehicles produce zero direct emissions during operation,During operation electric vehicles emit no direct pollutants or greenhouse gases,1,0.83,electric vehicles produce zero direct emissions operation,operation electric vehicles emit direct pollutants greenhouse gases
The World Wide Web was invented by Tim Berners-Lee in 1989,Tim Berners-Lee created the World Wide Web in 1989 at CERN,1,0.87,world wide web invented tim bernerslee 1989,tim bernerslee created world wide web 1989 cern
Nanotechnology involves manipulation of matter at the atomic scale,Atomic and molecular scale manipulation of matter is the basis of nanotechnology,1,0.82,nanotechnology involves manipulation matter atomic scale,atomic molecular scale manipulation matter basis nanotechnology
The human body contains approximately 37 trillion cells,About 37 trillion cells make up the entire human body,1,0.91,human body contains approximately 37 trillion cells,37 trillion cells make entire human body
Dark matter makes up approximately 27 percent of the universe,About 27% of the total mass-energy content of the universe consists of dark matter,1,0.79,dark matter makes approximately 27 percent universe,27 total massenergy content universe consists dark matter
Insulin regulates blood glucose levels in the human body,Blood sugar levels in the human body are controlled by the hormone insulin,1,0.86,insulin regulates blood glucose levels human body,blood sugar levels human body controlled hormone insulin
The Amazon rainforest produces about 20 percent of Earth's oxygen,About 20% of the world's oxygen is generated by the Amazon rainforest,1,0.88,amazon rainforest produces 20 percent earths oxygen,20 worlds oxygen generated amazon rainforest
Quantum entanglement allows particles to be correlated regardless of distance,Regardless of the distance between them entangled particles remain correlated,1,0.83,quantum entanglement allows particles correlated regardless distance,regardless distance entangled particles remain correlated
The cats sat on the mat looking out the window,Dogs ran across the field chasing after the ball,0,0.05,cats sat mat looking window,dogs ran across field chasing ball
Python is a programming language used for data science,The history of ancient Rome spans several centuries of empire,0,0.02,python programming language used data science,history ancient rome spans several centuries empire
Climate change threatens marine ecosystems globally,The latest smartphone has a powerful new processor chip,0,0.01,climate change threatens marine ecosystems globally,latest smartphone powerful new processor chip
Machine learning algorithms process large datasets efficiently,The recipe requires flour eggs and butter for the cake,0,0.03,machine learning algorithms process large datasets efficiently,recipe requires flour eggs butter cake
The brain processes visual information in the occipital lobe,Stock prices fell sharply after the central bank announcement,0,0.02,brain processes visual information occipital lobe,stock prices fell sharply central bank announcement
Solar panels convert sunlight directly into electricity,The football team won the championship after a long season,0,0.01,solar panels convert sunlight directly electricity,football team won championship long season
Gravity is a fundamental force of nature,The restaurant serves Italian food with fresh ingredients,0,0.03,gravity fundamental force nature,restaurant serves italian food fresh ingredients
The government passed new legislation on healthcare reform,Butterflies undergo a complete metamorphosis from caterpillar to adult,0,0.02,government passed new legislation healthcare reform,butterflies undergo complete metamorphosis caterpillar adult
Computer vision enables machines to interpret visual data,The ancient Egyptians built the pyramids over several decades,0,0.01,computer vision enables machines interpret visual data,ancient egyptians built pyramids several decades
Antibiotics should not be used to treat viral infections,The concert was held at a large outdoor venue last summer,0,0.02,antibiotics used treat viral infections,concert held large outdoor venue last summer
Natural language processing is a field of artificial intelligence,The new bridge design uses innovative engineering solutions,0,0.03,natural language processing field artificial intelligence,new bridge design uses innovative engineering solutions
The ozone hole is most pronounced over Antarctica,Classical music concerts attract diverse audiences across age groups,0,0.01,ozone hole pronounced antarctica,classical music concerts attract diverse audiences across age groups
The Renaissance produced great works of art and literature,Stock trading volumes were unusually high in the morning session,0,0.02,renaissance produced great works art literature,stock trading volumes unusually high morning session
Water is a polar molecule with unique properties,The marathon runner completed the race in under three hours,0,0.01,water polar molecule unique properties,marathon runner completed race under three hours
DNA replication occurs during cell division,The medieval castle was built to defend against invaders,0,0.02,dna replication occurs cell division,medieval castle built defend against invaders
Inflation targets are set by central banks,The library has an extensive collection of rare manuscripts,0,0.01,inflation targets set central banks,library extensive collection rare manuscripts
Vaccines contain antigens that stimulate immune responses,The chef prepared a five-course dinner for the guests,0,0.03,vaccines contain antigens stimulate immune responses,chef prepared fivecourse dinner guests
The Pacific Ocean is the largest ocean on Earth,Poetry often uses metaphors and symbolism to convey meaning,0,0.01,pacific ocean largest ocean earth,poetry often uses metaphors symbolism convey meaning
Electric fields surround charged particles in space,The theater company performed Shakespeare in the park,0,0.02,electric fields surround charged particles space,theater company performed shakespeare park
Ecosystems maintain balance through predator-prey relationships,The smartphone battery lasts approximately twelve hours on a full charge,0,0.01,ecosystems maintain balance predatorprey relationships,smartphone battery lasts approximately twelve hours full charge
The theory of evolution was proposed by Charles Darwin,The bakery opens at six in the morning every day,0,0.02,theory evolution proposed charles darwin,bakery opens six morning every day
Machine learning models require large amounts of training data,The garden was filled with colorful flowers in spring,0,0.01,machine learning models require large amounts training data,garden filled colorful flowers spring
Blockchain ensures data integrity through cryptographic hashing,The university library added new books to its collection,0,0.03,blockchain ensures data integrity cryptographic hashing,university library added new books collection
The Pythagorean theorem applies to right-angled triangles,The ocean liner set sail on its maiden voyage,0,0.02,pythagorean theorem applies rightangled triangles,ocean liner set sail maiden voyage
Neurons fire electrochemical signals across synaptic junctions,The hiking trail passes through dense forest and meadows,0,0.01,neurons fire electrochemical signals across synaptic junctions,hiking trail passes dense forest meadows
The human genome project was completed in 2003,The music festival attracted thousands of fans each day,0,0.02,human genome project completed 2003,music festival attracted thousands fans day
Quantum mechanics describes the behavior of subatomic particles,The sculpture was carved from a single block of marble,0,0.01,quantum mechanics describes behavior subatomic particles,sculpture carved single block marble
Photosynthesis occurs in the chloroplasts of plant cells,The diplomat negotiated a peace treaty between the nations,0,0.02,photosynthesis occurs chloroplasts plant cells,diplomat negotiated peace treaty nations
Social networks enable global communication and collaboration,The volcano erupted after years of dormancy,0,0.01,social networks enable global communication collaboration,volcano erupted years dormancy
Climate models predict increasing frequency of extreme weather events,The dancer performed a graceful ballet at the theater,0,0.02,climate models predict increasing frequency extreme weather events,dancer performed graceful ballet theater
The universe is estimated to be 13.8 billion years old,Fresh pasta is made with flour eggs and olive oil,0,0.01,universe estimated 138 billion years old,fresh pasta made flour eggs olive oil
Neural plasticity allows the brain to form new connections,The architect designed a sustainable green building downtown,0,0.02,neural plasticity allows brain form new connections,architect designed sustainable green building downtown
Cybersecurity protects computer systems from unauthorized access,The puppy learned new tricks after several training sessions,0,0.01,cybersecurity protects computer systems unauthorized access,puppy learned new tricks several training sessions
The Amazon rainforest is often called the lungs of the Earth,The cyclist completed the mountain stage in record time,0,0.02,amazon rainforest often called lungs earth,cyclist completed mountain stage record time
Viruses are not considered living organisms by most biologists,The fashion designer unveiled a new collection at the show,0,0.01,viruses considered living organisms biologists,fashion designer unveiled new collection show
Machine learning models can overfit when trained on small datasets,The archaeologist discovered ancient pottery at the dig site,0,0.02,machine learning models overfit trained small datasets,archaeologist discovered ancient pottery dig site
The speed of sound varies with temperature and medium,The painter created a vibrant mural on the city wall,0,0.01,speed sound varies temperature medium,painter created vibrant mural city wall
Plate boundaries are zones of intense geological activity,The author published a new novel to critical acclaim,0,0.02,plate boundaries zones intense geological activity,author published new novel critical acclaim
Stem cells have the potential to differentiate into various cell types,The jazz band played to a full house at the club,0,0.01,stem cells potential differentiate various cell types,jazz band played full house club
Biodiversity loss threatens ecosystem stability and resilience,The detective solved the mystery after finding hidden evidence,0,0.02,biodiversity loss threatens ecosystem stability resilience,detective solved mystery finding hidden evidence
Nuclear fusion could provide clean and virtually limitless energy,The tailor altered the suit to fit perfectly,0,0.01,nuclear fusion provide clean virtually limitless energy,tailor altered suit fit perfectly
The Gulf Stream influences the climate of Western Europe,The student submitted the assignment before the deadline,0,0.02,gulf stream influences climate western europe,student submitted assignment deadline
Epigenetics studies heritable changes that do not alter DNA sequence,The pilot landed the aircraft safely during the storm,0,0.01,epigenetics studies heritable changes alter dna sequence,pilot landed aircraft safely storm
Computer algorithms solve problems through step-by-step instructions,The gardener planted tomatoes and herbs in the raised bed,0,0.02,computer algorithms solve problems stepbystep instructions,gardener planted tomatoes herbs raised bed
The placebo effect demonstrates the power of belief on health outcomes,The musician composed a symphony inspired by nature,0,0.01,placebo effect demonstrates power belief health outcomes,musician composed symphony inspired nature
Big data analytics extracts insights from massive datasets,The carpenter built a wooden cabinet with intricate joinery,0,0.02,big data analytics extracts insights massive datasets,carpenter built wooden cabinet intricate joinery
The law of conservation of energy states energy cannot be created or destroyed,The photographer captured stunning images of the northern lights,0,0.01,law conservation energy states energy cannot created destroyed,photographer captured stunning images northern lights
Genetic engineering allows modification of an organism's DNA,The swimmer broke the world record at the championships,0,0.02,genetic engineering allows modification organisms dna,swimmer broke world record championships
The prefrontal cortex is involved in decision-making and planning,The chef won a prestigious award for culinary excellence,0,0.01,prefrontal cortex involved decisionmaking planning,chef won prestigious award culinary excellence
Tectonic plates move due to convection currents in the mantle,The journalist reported live from the site of the disaster,0,0.02,tectonic plates move due convection currents mantle,journalist reported live site disaster
Organic compounds contain carbon atoms bonded to other elements,The rocket launched successfully and reached orbit as planned,0,0.01,organic compounds contain carbon atoms bonded elements,rocket launched successfully reached orbit planned
